,NUM_BO,DELEGACIA,RUBRICA,MES,LATITUDE,LONGITUDE
287760,33278,DELEGACIA ELETRONICA          ,Roubo,1,-23.48763435,-46.48353356
484964,69648,DELEGACIA ELETRONICA          ,Roubo,1,-23.6569504,-46.56224823
383836,63542,DELEGACIA ELETRONICA          ,Furto,1,-23.54589894,-46.62176906
432699,434,02º D.P. CARAPICUIBA          ,Lesão envolvendo veículos,1,-23.56120407,-46.83702185
284912,276,04º D.P. DIADEMA              ,Roubo,1,-23.69213893,-46.66201124
136245,149,01º D.P. ITAQUAQUECETUBA      ,Roubo,1,-23.42589644,-46.34993744
671897,687,73º D.P. JACANA               ,Crime sexual,1,-23.45924945,-46.57507849
760985,3171,DEL.POL.ARUJA                 ,Furto,1,-23.46407796,-46.39955342
245219,297,01º D.P. TABOÃO DA SERRA      ,Crime sexual,1,-23.62206945,-46.79995239
48016,82965,DELEGACIA ELETRONICA          ,Roubo,1,-23.53034019,-46.58499908
612513,237,DEL.POL.JANDIRA               ,Lesão corporal,1,-23.54250305,-46.9096553
648894,94,01º D.P. SANTO ANDRÉ          ,Lesão corporal,1,-23.69610801,-46.52492049
597982,445,11º D.P. SANTO AMARO          ,Furto,1,-23.65088453,-46.70751503
41316,329,91º D.P. CEASA                ,Lesão corporal,1,-23.51694674,-46.72558819
349071,210,54º D.P.  CID. TIRADENTES     ,Furto,1,-23.56957488,-46.4096889
325605,309,DEL.POL.ITAPECERICA DA SERRA  ,Furto,1,-23.71753562,-46.85559053
115861,384,01º D.P. OSASCO               ,Roubo,1,-23.53354005,-46.78980933
201362,101838,DELEGACIA ELETRONICA          ,Furto,1,-23.52904578,-46.66291181
186136,21,32º D.P.  ITAQUERA            ,Crimes envolvendo drogas,1,-23.55186057,-46.452960499999996
7770,325,56º D.P.  VILA ALPINA         ,Lesão corporal,1,-23.55719043,-46.61771411
407090,52487,DELEGACIA ELETRONICA          ,Roubo,1,-23.595319399999998,-46.48608488
492380,6078,DELEGACIA ELETRONICA          ,Furto,1,-23.46802576,-46.59019417
214591,60948,DELEGACIA ELETRONICA          ,Furto,1,-23.54708315,-46.60670242
